Query Case,Cited Cases
0001038933.txt,"""['0000015880.txt', '0000040914.txt', '0000126399.txt', '0000128084.txt', '0000197643.txt', '0000225960.txt', '0000229664.txt', '0000320833.txt', '0000372939.txt', '0000515070.txt', '0000537036.txt', '0000549959.txt', '0000662142.txt', '0000758426.txt', '0001004552.txt', '0001009272.txt', '0001204394.txt', '0001308555.txt', '0001311077.txt', '0001326202.txt', '0001386127.txt', '0001406988.txt', '0001525131.txt', '0001566250.txt', '0001632114.txt', '0001699144.txt', '0001732998.txt', '0001735608.txt', '0001825522.txt', '0001910104.txt', '0156560583.txt']"""
0001916066.txt,"""['0000444169.txt']"""
0001141880.txt,"""['0000243457.txt', '0001584099.txt', '0001692544.txt']"""
0001752153.txt,"""['0001618321.txt']"""
0000791872.txt,"""['0000055098.txt', '0000147453.txt', '0000232139.txt', '0000282757.txt', '0000295487.txt', '0000324717.txt', '0000407915.txt', '0000426032.txt', '0000435033.txt', '0000733096.txt', '0000790887.txt', '0000914491.txt', '0000974148.txt', '0001006436.txt', '0001073776.txt', '0001149369.txt', '0001212865.txt', '0001214358.txt', '0001250462.txt', '0001287325.txt', '0001340429.txt', '0001530953.txt', '0001540511.txt', '0001586503.txt', '0001679092.txt', '0001681046.txt', '0001785601.txt', '0001824415.txt', '0001959496.txt']"""
0000256623.txt,"""['0000743564.txt']"""
0001069242.txt,"""['0000304499.txt', '0000514162.txt', '0001125008.txt', '0001293755.txt', '0001377254.txt', '0001497372.txt', '0001535672.txt', '0001647721.txt', '0001692271.txt']"""
0000807037.txt,"""['0000277653.txt', '0000505590.txt', '0000509713.txt', '0000525337.txt', '0000885748.txt', '0001071315.txt', '0001357219.txt', '0001569551.txt', '0001806677.txt', '0001914269.txt', '0101425423.txt']"""
0001919374.txt,"""['0000722178.txt']"""
0001774206.txt,"""['0000756457.txt', '0000905055.txt']"""
0000407050.txt,"""['0000886105.txt', '0000886447.txt', '0001095679.txt', '0001143318.txt', '0001313790.txt']"""
0001886356.txt,"""['0000090545.txt', '0001030770.txt', '0001275107.txt', '0001290730.txt', '0001358798.txt', '0001512527.txt', '0001787753.txt', '0001812864.txt', '0001869901.txt', '0001926847.txt']"""
0000531981.txt,"""['0000425275.txt', '0000571954.txt', '0000665168.txt', '0000909443.txt']"""
0000206286.txt,"""['0000016072.txt', '0000666254.txt', '0001175965.txt', '0001914368.txt', '0001947974.txt', '0197339988.txt']"""
0001646273.txt,"""['0001015973.txt', '0001703545.txt']"""
0000461988.txt,"""['0000530481.txt', '0000723416.txt', '0001192905.txt', '0001583419.txt', '0001831395.txt']"""
0001467818.txt,"""['0000640300.txt', '0000682162.txt', '0000804762.txt', '0001584619.txt']"""
0065589680.txt,"""['0000424874.txt', '0000470397.txt', '0001377254.txt', '0001564015.txt']"""
0000000599.txt,"""['0001292810.txt', '0001742283.txt']"""
0000577270.txt,"""['0000056195.txt', '0001350925.txt', '0001478450.txt']"""
0001575754.txt,"""['0000504870.txt', '0000565089.txt', '0001250363.txt', '0001684724.txt', '0020740455.txt']"""
0000127577.txt,"""['0000541991.txt', '0001631077.txt']"""
0001398152.txt,"""['0000557648.txt', '0000776347.txt', '0001333400.txt', '0001348902.txt']"""
0001511412.txt,"""['0000013540.txt', '0001059476.txt', '0138945343.txt']"""
0000982406.txt,"""['0000245155.txt', '0000316192.txt', '0001253987.txt']"""
0001704290.txt,"""['0000089235.txt', '0000465922.txt', '0000533698.txt', '0001333358.txt', '0001432437.txt', '0001466744.txt', '0001490816.txt', '0001739320.txt']"""
0000678242.txt,"""['0000043994.txt', '0000139277.txt', '0000327235.txt', '0000413801.txt', '0000714546.txt', '0000796476.txt', '0001538869.txt', '0001642125.txt', '0001750500.txt', '0001946226.txt', '0001949249.txt']"""
0000041217.txt,"""['0000244168.txt', '0000541212.txt', '0000547717.txt', '0000662808.txt', '0000724688.txt', '0000728019.txt', '0001424891.txt', '0001451408.txt', '0001452211.txt', '0001478438.txt', '0001604162.txt']"""
0001758526.txt,"""['0000085433.txt']"""
0000089749.txt,"""['0000871841.txt', '0000909741.txt', '0001884070.txt']"""
0001471864.txt,"""['0001270113.txt']"""
0000429357.txt,"""['0000068731.txt', '0000091801.txt', '0000098423.txt', '0000315404.txt', '0000978512.txt', '0001898568.txt', '0001953761.txt']"""
0118959948.txt,"""['0000721631.txt', '0000839441.txt', '0001065676.txt', '0001136517.txt', '0001401948.txt', '0001886356.txt', '0001968617.txt']"""
0001401120.txt,"""['0001417359.txt', '0001589435.txt']"""
0001712107.txt,"""['0000130600.txt', '0000283660.txt', '0000568069.txt', '0000673500.txt', '0001010337.txt', '0001102772.txt', '0001300399.txt', '0001514049.txt']"""
0000248313.txt,"""['0000049712.txt', '0000227285.txt', '0000230938.txt', '0000347907.txt', '0000412326.txt', '0000779575.txt', '0000862701.txt', '0000918619.txt', '0001131591.txt', '0001200243.txt', '0001251810.txt', '0001309482.txt', '0001379003.txt', '0001577235.txt', '0001836460.txt', '0001912825.txt', '0080585116.txt']"""
0000121995.txt,"""['0001576742.txt']"""
0000925200.txt,"""['0000626262.txt', '0001246820.txt', '0001270113.txt']"""
0000982107.txt,"""['0000470118.txt', '0001049711.txt']"""
0000517477.txt,"""['0000098072.txt', '0000282592.txt', '0000492752.txt', '0001254200.txt']"""
0000017389.txt,"""['0001075667.txt', '0001164175.txt']"""
0001505859.txt,"""['0000026756.txt', '0000056500.txt', '0000110161.txt', '0000165408.txt', '0000204632.txt', '0000362252.txt', '0000487225.txt', '0000491665.txt', '0000516808.txt', '0000520478.txt', '0000694079.txt', '0000882637.txt', '0000919738.txt', '0001029775.txt', '0001035123.txt', '0001072474.txt', '0001339608.txt', '0001813863.txt', '0001815271.txt', '0001848868.txt', '0001866831.txt', '0001985201.txt']"""
0001718159.txt,"""['0000881730.txt']"""
0000780967.txt,"""['0000518848.txt', '0000583481.txt', '0000902937.txt', '0001325588.txt', '0001941378.txt']"""
0001472175.txt,"""['0000225501.txt', '0000240886.txt', '0000262715.txt', '0000279047.txt', '0000289824.txt', '0000292651.txt', '0000316164.txt', '0000345078.txt', '0000488714.txt', '0000588869.txt', '0000748214.txt', '0001017570.txt', '0001091542.txt', '0001116714.txt', '0001261186.txt', '0001276611.txt', '0001300646.txt', '0001416653.txt', '0001571731.txt', '0001589658.txt', '0001629738.txt', '0001672742.txt', '0001728805.txt', '0001769355.txt', '0001851892.txt', '0001899962.txt', '0001931052.txt', '0003666695.txt', '0089815281.txt']"""
0000902793.txt,"""['0000065796.txt', '0000256623.txt', '0000384084.txt', '0000413104.txt', '0000424874.txt', '0000834589.txt', '0000919121.txt', '0001166325.txt', '0001355522.txt']"""
0001255158.txt,"""['0000746109.txt']"""
0000254611.txt,"""['0000152579.txt', '0000819123.txt', '0001142887.txt', '0001512520.txt', '0184335016.txt']"""
0000276947.txt,"""['0000055098.txt', '0000153655.txt', '0000232508.txt', '0000526054.txt', '0000968805.txt', '0001018531.txt', '0001377254.txt', '0001617498.txt', '0001758160.txt', '0001979462.txt', '0089154152.txt']"""
0001814028.txt,"""['0000909797.txt', '0001807689.txt']"""
0001486242.txt,"""['0000238008.txt', '0000330389.txt', '0000409879.txt', '0000466050.txt', '0000882109.txt', '0000951805.txt', '0000990651.txt', '0001101298.txt', '0001125816.txt', '0001249223.txt', '0001300646.txt', '0001387847.txt', '0001417523.txt', '0001455991.txt', '0001594765.txt', '0001808521.txt', '0001810202.txt', '0001832843.txt', '0001970722.txt', '0001996423.txt']"""
0000408962.txt,"""['0000084063.txt', '0000312254.txt', '0000437929.txt', '0000524673.txt', '0000615273.txt', '0000882109.txt', '0001111557.txt', '0001160384.txt', '0001486242.txt']"""
0001665633.txt,"""['0000226662.txt', '0000682162.txt']"""
0000232986.txt,"""['0001715757.txt']"""
0001338641.txt,"""['0000002408.txt', '0000115219.txt', '0000225819.txt', '0000278979.txt', '0000522239.txt', '0000577658.txt', '0000693942.txt', '0000711835.txt', '0001248519.txt', '0001280506.txt', '0001331409.txt', '0001376894.txt', '0001479464.txt', '0001526053.txt', '0001724645.txt', '0001762396.txt', '0001887528.txt']"""
0020740455.txt,"""['0001703207.txt']"""
0000035294.txt,"""['0001499783.txt']"""
0000524673.txt,"""['0000073422.txt', '0000160935.txt', '0000165982.txt', '0000223999.txt', '0000856412.txt', '0000859483.txt', '0001104260.txt', '0001126156.txt', '0001249223.txt', '0001390060.txt', '0001398868.txt', '0001512687.txt', '0001570026.txt', '0001705272.txt', '0001801435.txt', '0001965204.txt']"""
0000528013.txt,"""['0000018283.txt', '0000127667.txt', '0001263190.txt']"""
0000538569.txt,"""['0000232986.txt', '0001579663.txt', '0001621017.txt', '0001906719.txt']"""
0000476355.txt,"""['0000183879.txt', '0000818950.txt', '0001031996.txt', '0001084807.txt', '0001853400.txt']"""
0190879973.txt,"""['0000060864.txt', '0000504910.txt', '0000539121.txt', '0000781024.txt', '0000796212.txt', '0001132612.txt']"""
0000704970.txt,"""['0000017389.txt', '0000604596.txt', '0000619381.txt', '0000731000.txt', '0001267512.txt', '0001368197.txt', '0001400849.txt', '0001666932.txt', '0001758526.txt', '0001767213.txt']"""
0001479692.txt,"""['0000185481.txt']"""
0001664048.txt,"""['0000884309.txt', '0000910967.txt', '0001474532.txt', '0001719918.txt']"""
0000053020.txt,"""['0000391668.txt', '0000823444.txt', '0000993822.txt']"""
0193992552.txt,"""['0000055804.txt', '0000352163.txt', '0000884513.txt', '0000899938.txt', '0001716903.txt', '0001929601.txt']"""
0000113526.txt,"""['0001039305.txt', '0001074353.txt', '0001078597.txt', '0001111529.txt', '0001363234.txt', '0001780699.txt', '0001871744.txt']"""
0000670637.txt,"""['0000534347.txt', '0000591045.txt', '0000617131.txt', '0000682526.txt', '0001252577.txt', '0001604162.txt', '0147083520.txt']"""
0001008845.txt,"""['0001842303.txt']"""
0000413768.txt,"]"""
0001537954.txt,"""['0000054770.txt', '0000127118.txt', '0000303515.txt', '0001089958.txt', '0001954048.txt', '0001962657.txt']"""
0000473715.txt,"""['0000291612.txt', '0000428429.txt', '0001805239.txt', '0083887008.txt']"""
0001916574.txt,"""['0000011301.txt', '0000140310.txt', '0000189095.txt', '0000235292.txt', '0000372920.txt', '0000733987.txt', '0000821911.txt', '0001115095.txt', '0001409672.txt', '0001643088.txt', '0001660757.txt', '0001743618.txt', '0001833324.txt', '0001859805.txt']"""
0001009269.txt,"""['0000229964.txt', '0000249256.txt', '0000337766.txt', '0000353515.txt', '0000480690.txt', '0000761538.txt', '0001014468.txt', '0001214981.txt', '0001223803.txt', '0001531123.txt', '0001704390.txt', '0152469593.txt']"""
0001930234.txt,"""['0000170336.txt', '0001548537.txt', '0001718785.txt']"""
0000890425.txt,"""['0000090927.txt', '0000143379.txt', '0000508361.txt', '0000604180.txt', '0000672749.txt', '0000788193.txt', '0001114904.txt', '0001218308.txt', '0001700319.txt', '0001764004.txt', '0001775619.txt']"""
0000656672.txt,"""['0000319428.txt', '0000778610.txt', '0001179086.txt', '0001402003.txt', '0104274234.txt']"""
0000483629.txt,"""['0000229683.txt', '0000345194.txt', '0000486026.txt', '0000978175.txt', '0001264252.txt', '0001884334.txt', '0060056628.txt', '0168621613.txt']"""
0000433889.txt,"""['0000020683.txt', '0001815803.txt']"""
0000604180.txt,"""['0000131825.txt', '0000152484.txt', '0000174941.txt', '0000188134.txt', '0000239249.txt', '0000294735.txt', '0000303704.txt', '0000306167.txt', '0000319556.txt', '0000701240.txt', '0001004292.txt', '0001540511.txt', '0001735439.txt', '0001928579.txt', '0001942919.txt']"""
0001495774.txt,"""['0000685234.txt', '0001835025.txt', '0001879676.txt']"""
0000127231.txt,"""['0000210537.txt', '0000635549.txt', '0001038304.txt']"""
0000639309.txt,"""['0001362430.txt']"""
0000686466.txt,"""['0000833521.txt', '0001545831.txt', '0001627518.txt', '0001964375.txt']"""
0001163047.txt,"""['0000014686.txt', '0000090611.txt', '0000161143.txt', '0000335364.txt', '0000489347.txt', '0000534445.txt', '0000630788.txt', '0000844813.txt', '0000983937.txt', '0001039446.txt', '0001096820.txt', '0001184689.txt', '0001248979.txt', '0001466133.txt', '0001508773.txt', '0001671314.txt', '0001835935.txt']"""
0001873713.txt,"""['0000047966.txt', '0000051438.txt', '0000127577.txt', '0000555441.txt', '0001173221.txt', '0001285713.txt', '0001417795.txt', '0001518758.txt', '0001761200.txt', '0001794525.txt', '0001827019.txt', '0001864396.txt', '0173872201.txt']"""
0000760007.txt,"""['0000304499.txt', '0000514162.txt', '0000854341.txt', '0000934856.txt', '0001377254.txt', '0001432872.txt']"""
0000464101.txt,"""['0001801918.txt']"""
0000090927.txt,"""['0000294735.txt', '0001935036.txt']"""
0000799168.txt,"""['0001362361.txt']"""
0000346402.txt,"]"""
0001099899.txt,"""['0000089749.txt', '0000320206.txt', '0000405874.txt']"""
0000565623.txt,"""['0001865729.txt']"""
0001012382.txt,"""['0000932632.txt', '0000983159.txt']"""
0001767213.txt,"""['0000017389.txt', '0000041286.txt', '0000128918.txt', '0000251230.txt', '0000362389.txt', '0000474411.txt', '0000841670.txt', '0001124915.txt', '0001169305.txt', '0001268547.txt', '0001847988.txt']"""
0000458151.txt,"""['0001455092.txt', '0107661579.txt']"""
0001812003.txt,"""['0000943822.txt']"""
0000570106.txt,"""['0000067739.txt', '0000089749.txt', '0000257915.txt', '0000287864.txt', '0000400190.txt', '0000941065.txt', '0001099899.txt', '0001362835.txt', '0001668648.txt', '0001778713.txt', '0001836713.txt', '0001884070.txt']"""
0001987491.txt,"""['0000021773.txt', '0000055098.txt', '0000276947.txt', '0000777743.txt', '0000791872.txt', '0000936707.txt', '0000971033.txt', '0001018531.txt', '0001216757.txt', '0001231443.txt', '0001377254.txt', '0001617498.txt', '0001649809.txt', '0001714839.txt', '0001752601.txt']"""
0000361353.txt,"""['0000288147.txt', '0001420504.txt', '0001424759.txt', '0001786180.txt']"""
0000032468.txt,"""['0001270113.txt']"""
0000755258.txt,"""['0000039750.txt', '0000914491.txt', '0001677367.txt']"""
0000987874.txt,"""['0000345775.txt', '0000679005.txt', '0000823221.txt', '0000903662.txt', '0001398181.txt', '0001566753.txt', '0001989074.txt']"""
0000128186.txt,"""['0000504910.txt', '0001014230.txt']"""
0001942365.txt,"""['0000053080.txt', '0000290613.txt', '0000399708.txt', '0000531981.txt', '0000871220.txt', '0000873786.txt', '0000941355.txt', '0001082133.txt', '0001272035.txt', '0001604162.txt', '0001669727.txt', '0031443063.txt']"""
0001417351.txt,"""['0000035719.txt']"""
0000340697.txt,"""['0000504570.txt', '0001351547.txt']"""
0000789425.txt,"""['0000004475.txt', '0000483964.txt', '0001122920.txt', '0001300049.txt', '0001644719.txt', '0001891870.txt']"""
0001110452.txt,"""['0001339941.txt']"""
0001395333.txt,"""['0000132533.txt', '0000224777.txt', '0001113126.txt', '0001207163.txt', '0001450722.txt', '0001540511.txt', '0001657891.txt', '0001742283.txt', '0001845348.txt']"""
0001004400.txt,"""['0000545621.txt']"""
0001265206.txt,"""['0000778801.txt', '0001082321.txt']"""
0000186617.txt,"""['0000224112.txt', '0001037342.txt', '0001075954.txt', '0001096695.txt', '0001566412.txt', '0001805945.txt', '0001863806.txt', '0001864332.txt']"""
0000392664.txt,"""['0000328748.txt', '0000478730.txt', '0000567203.txt', '0000593401.txt', '0000807037.txt', '0000867830.txt', '0001781171.txt']"""
0000884309.txt,"""['0000910967.txt', '0001474532.txt', '0001719918.txt']"""
0032790580.txt,"""['0000770422.txt', '0000808611.txt', '0001265961.txt']"""
0000566292.txt,"""['0001472456.txt']"""
0001835935.txt,"""['0000161143.txt', '0001184689.txt']"""
0000397076.txt,"""['0001746229.txt']"""
0000298190.txt,"""['0000039001.txt', '0001084306.txt']"""
0000510738.txt,"]"""
0000518437.txt,"""['0000572484.txt', '0001020411.txt', '0001607349.txt', '0001659661.txt', '0001670045.txt', '0001882880.txt']"""
0176582397.txt,"""['0000128186.txt', '0000181370.txt', '0000473122.txt', '0000504910.txt', '0000539121.txt', '0000630881.txt', '0000887940.txt', '0001265791.txt', '0001327885.txt', '0001446441.txt', '0001971819.txt', '0190879973.txt']"""
0121431779.txt,"""['0000241174.txt', '0000549326.txt', '0000667950.txt', '0000693619.txt', '0000786404.txt', '0000914491.txt', '0000957056.txt', '0001038933.txt', '0001257548.txt', '0048110962.txt', '0105261366.txt', '0146351380.txt']"""
0000796476.txt,"""['0000043994.txt', '0000536981.txt', '0000714546.txt', '0001033033.txt', '0001066410.txt', '0001075809.txt', '0001877674.txt', '0001946226.txt', '0001949249.txt', '0157433067.txt']"""
0001306228.txt,"""['0000067255.txt', '0000315836.txt', '0001064244.txt', '0001197053.txt', '0001265850.txt', '0001608703.txt', '0193992552.txt']"""
0001227114.txt,"""['0000023883.txt', '0000030980.txt', '0000195752.txt', '0000557648.txt', '0000699381.txt', '0001333400.txt']"""
0001831380.txt,"""['0000000262.txt', '0000308828.txt', '0001003128.txt']"""
0000105132.txt,"""['0000510078.txt', '0000823347.txt', '0001729355.txt']"""
0000516149.txt,"""['0000249256.txt', '0001059301.txt']"""
0001580245.txt,"""['0000043994.txt', '0000158205.txt', '0000536981.txt', '0001946226.txt', '0001949249.txt']"""
0105261366.txt,"""['0000013395.txt', '0000044360.txt', '0000192852.txt', '0000573333.txt', '0000770422.txt', '0000863509.txt', '0000889187.txt', '0001022884.txt', '0001035123.txt', '0001250057.txt', '0001347962.txt', '0001384903.txt', '0001639002.txt', '0001663039.txt', '0001774831.txt', '0001783651.txt', '0001919674.txt', '0001988749.txt', '0160893041.txt']"""
0001711395.txt,"""['0001765052.txt']"""
0000400190.txt,"""['0000086414.txt', '0000345775.txt', '0000389088.txt', '0000587550.txt', '0000625606.txt', '0000812700.txt', '0000950864.txt', '0000956165.txt', '0001043636.txt', '0001553323.txt', '0001610564.txt', '0001668648.txt', '0001873146.txt', '0001931362.txt']"""
0000473527.txt,"""['0000635142.txt', '0000766673.txt', '0000790797.txt', '0000853652.txt', '0000985326.txt', '0001048929.txt', '0001334570.txt', '0001360488.txt', '0001743548.txt']"""
0000193060.txt,"""['0000600234.txt', '0001069250.txt']"""
0001229840.txt,"""['0001509910.txt', '0001737795.txt']"""
0001558594.txt,"""['0001199716.txt']"""
0000565089.txt,"""['0000035468.txt', '0000201545.txt', '0001114727.txt', '0001520872.txt', '0001766429.txt', '0001948574.txt']"""
0000176124.txt,"""['0000053020.txt', '0000098072.txt', '0000146960.txt', '0001064251.txt', '0001358918.txt', '0001376469.txt', '0001516991.txt', '0001911635.txt']"""
0001827447.txt,"""['0001416438.txt', '0001499936.txt', '0001815080.txt']"""
0001886928.txt,"""['0000113349.txt', '0000242250.txt', '0000450351.txt', '0000549509.txt', '0000585059.txt', '0000613683.txt', '0000831815.txt', '0001212217.txt', '0001424534.txt', '0001480605.txt', '0001495650.txt', '0001818223.txt']"""
0001189707.txt,"""['0000089764.txt', '0000163627.txt', '0000211490.txt', '0000263196.txt', '0000263521.txt', '0000318186.txt', '0000525017.txt', '0000832348.txt', '0000899911.txt', '0000911769.txt', '0001058932.txt', '0001398204.txt', '0001508507.txt', '0001553220.txt', '0001934515.txt', '0181653737.txt']"""
0000081544.txt,"]"""
0000882109.txt,"""['0000238008.txt', '0000380958.txt', '0000906932.txt', '0001104260.txt', '0001249223.txt', '0001300646.txt', '0001801435.txt']"""
0001490816.txt,"""['0000050026.txt', '0000504032.txt', '0000926547.txt', '0001089643.txt', '0001198423.txt', '0001590363.txt']"""
0000122530.txt,"""['0001594358.txt']"""
0000194067.txt,"""['0000194067.txt', '0000302099.txt', '0000531871.txt', '0001152215.txt']"""
0000384084.txt,"""['0000156295.txt', '0001681654.txt']"""
0000410688.txt,"""['0000114000.txt', '0000723828.txt', '0001271682.txt', '0001758785.txt', '0001860679.txt']"""
0001114904.txt,"""['0000317118.txt', '0000656488.txt']"""
0000923270.txt,"""['0000591952.txt', '0000746916.txt', '0001190725.txt', '0178034323.txt']"""
0000776307.txt,"""['0000485116.txt', '0000965502.txt', '0000968709.txt', '0001688412.txt']"""
0000529534.txt,"""['0001087177.txt', '0001534931.txt', '0001539516.txt', '0001979210.txt']"""
0001956124.txt,"""['0001460419.txt', '0001812003.txt']"""
0001533633.txt,"""['0000186428.txt', '0000449225.txt', '0000513801.txt', '0000768764.txt', '0001281050.txt', '0001460318.txt', '0001737583.txt', '0001938608.txt']"""
0001091542.txt,"""['0001714221.txt', '0089815281.txt']"""
0001201809.txt,"""['0000324909.txt', '0000547717.txt', '0001272035.txt']"""
0000549326.txt,"""['0001086225.txt', '0001209122.txt', '0001347962.txt', '0001661153.txt', '0001734332.txt', '0097130729.txt']"""
0000094004.txt,"""['0000429900.txt', '0000735726.txt', '0001324005.txt']"""
0066088684.txt,"""['0000514162.txt', '0000760007.txt', '0001066060.txt', '0001069242.txt', '0001108586.txt', '0001227331.txt', '0001350547.txt', '0001416283.txt', '0001497372.txt', '0001535672.txt', '0001857950.txt', '0065589680.txt']"""
0000253852.txt,"""['0001270113.txt', '0001684235.txt']"""
0000492752.txt,"""['0000485116.txt', '0001019322.txt', '0001134412.txt', '0001455000.txt', '0001861018.txt']"""
0066430123.txt,"""['0000776307.txt', '0000920965.txt', '0001049925.txt', '0001057686.txt', '0001396306.txt', '0001620184.txt', '0001655820.txt', '0057910187.txt', '0147226972.txt', '0172442656.txt']"""
0000997428.txt,"""['0000295165.txt', '0000386480.txt', '0000862612.txt', '0001020411.txt', '0001572011.txt', '0001595685.txt']"""
0000034813.txt,"""['0000807037.txt', '0001326255.txt', '0001543747.txt', '0001771492.txt']"""
0001218308.txt,"""['0000143379.txt', '0000915344.txt', '0001020032.txt', '0001728255.txt']"""
0001708628.txt,"""['0000017687.txt', '0000123465.txt', '0000157516.txt', '0000167167.txt', '0000243310.txt', '0000303677.txt', '0000364327.txt', '0000540241.txt', '0000671887.txt', '0000800292.txt', '0000880944.txt', '0001098643.txt', '0001123797.txt', '0001271781.txt', '0001411784.txt', '0001473774.txt', '0001598978.txt', '0001911635.txt']"""
0000010498.txt,"""['0000026470.txt', '0001002719.txt', '0001292810.txt', '0001296654.txt', '0001694314.txt']"""
0000161143.txt,"""['0000009975.txt', '0000085816.txt', '0000587577.txt', '0001597354.txt', '0060825673.txt']"""
0000936223.txt,"""['0000849870.txt']"""
0000060202.txt,"""['0000608874.txt']"""
0000319983.txt,"""['0000518848.txt', '0000583481.txt', '0000780967.txt', '0000902937.txt', '0000909797.txt', '0001120278.txt', '0001325588.txt', '0001941378.txt']"""
0000731000.txt,"""['0000084442.txt', '0000166621.txt', '0001064509.txt', '0001221809.txt', '0001303995.txt', '0001333597.txt', '0151488727.txt']"""
0001644513.txt,"""['0000350712.txt', '0000606955.txt', '0000766774.txt', '0001076955.txt', '0001698305.txt']"""
0050506037.txt,"""['0000109918.txt', '0000307840.txt', '0000506242.txt', '0000544776.txt', '0000699436.txt', '0000969224.txt', '0001236727.txt', '0001304475.txt', '0001506149.txt', '0001664951.txt', '0001694488.txt', '0027391014.txt', '0035999274.txt', '0071500997.txt', '0073830580.txt', '0184660633.txt']"""
0000947672.txt,"""['0000031012.txt', '0000041868.txt', '0000611846.txt', '0187960711.txt']"""
0001781171.txt,"""['0001307370.txt', '0001778510.txt']"""
0000175790.txt,"""['0000000599.txt', '0000010498.txt', '0000264503.txt', '0000717481.txt', '0001002719.txt', '0001224706.txt', '0001598222.txt', '0001742283.txt', '0001925650.txt', '0138715291.txt']"""
0001986314.txt,"""['0000442455.txt', '0000804060.txt', '0000907667.txt', '0001150492.txt', '0001391279.txt', '0001991612.txt', '0029862148.txt']"""
0000314044.txt,"""['0000174974.txt', '0000711652.txt', '0001327287.txt', '0001382698.txt', '0001470235.txt', '0001690233.txt', '0001766147.txt', '0184660633.txt']"""
0001028981.txt,"""['0000059678.txt', '0000671672.txt', '0000889031.txt', '0001115885.txt', '0001179473.txt', '0001364683.txt', '0001791534.txt']"""
0000518824.txt,"""['0000113526.txt', '0000762690.txt']"""
0000307495.txt,"""['0000096660.txt', '0000178012.txt', '0000547832.txt', '0001505859.txt', '0001888209.txt', '0001949246.txt', '0059659233.txt']"""
0001160384.txt,"""['0000042484.txt', '0000093965.txt', '0000768449.txt', '0001060613.txt', '0001411881.txt']"""
0000599427.txt,"""['0000546415.txt', '0001093034.txt', '0001477213.txt']"""
0000456839.txt,"""['0000237273.txt']"""
0001910029.txt,"""['0000266766.txt', '0000549957.txt', '0000571237.txt', '0000595275.txt', '0000722816.txt', '0001015696.txt', '0001343966.txt', '0001746250.txt', '0001748714.txt', '0001975610.txt', '0001989313.txt']"""
0093906983.txt,"""['0001065826.txt']"""
0000521025.txt,"""['0000142574.txt', '0000557648.txt', '0000740212.txt', '0001333400.txt']"""
0000685234.txt,"""['0000004354.txt', '0000033104.txt', '0000139104.txt', '0000334293.txt', '0000407809.txt', '0000701977.txt', '0001063853.txt', '0001097199.txt', '0001249510.txt', '0001270239.txt', '0001466885.txt', '0001677837.txt', '0001691358.txt', '0001905739.txt', '0001908113.txt', '0001949862.txt', '0184660633.txt']"""
0001491020.txt,"""['0001787456.txt']"""
0001490167.txt,"""['0001351547.txt']"""
0000817874.txt,"""['0000036233.txt', '0000979428.txt', '0001490348.txt', '0001509910.txt']"""
0000882976.txt,"""['0000712415.txt']"""
0001924533.txt,"""['0001242882.txt', '0001685907.txt', '0029637506.txt']"""
0000090791.txt,"""['0000092507.txt', '0000199139.txt', '0000529534.txt', '0001070258.txt', '0001087177.txt', '0001481214.txt', '0001644513.txt', '0001679740.txt', '0001697217.txt', '0001979210.txt', '0098853113.txt', '0198095330.txt']"""
0000887594.txt,"""['0000195752.txt']"""
0000703978.txt,"""['0000014720.txt', '0000197048.txt', '0000942042.txt', '0000948679.txt', '0001757961.txt', '0001812278.txt', '0001961694.txt']"""
0000879219.txt,"""['0000090672.txt', '0000113526.txt', '0000162840.txt', '0000757653.txt', '0000994451.txt', '0001078597.txt', '0001871744.txt']"""
0000135147.txt,"""['0001141965.txt', '0001908874.txt']"""
0000242776.txt,"""['0000658815.txt', '0000675957.txt', '0000718210.txt', '0000857238.txt', '0000867025.txt', '0001045542.txt', '0001049695.txt', '0001280506.txt', '0001451946.txt', '0001549689.txt', '0001562415.txt', '0001987690.txt']"""
0000159823.txt,"""['0000091828.txt', '0000219225.txt', '0000342635.txt', '0000383319.txt', '0000537600.txt', '0000616577.txt', '0000719134.txt', '0001300646.txt', '0001792486.txt', '0001831511.txt']"""
0000379593.txt,"""['0000212413.txt', '0000497890.txt', '0001382729.txt', '0001420599.txt', '0001838116.txt', '0001997407.txt']"""
0001295387.txt,"""['0000207204.txt', '0000243070.txt', '0000277713.txt', '0000281263.txt', '0000407050.txt', '0000891681.txt', '0000902660.txt', '0001083208.txt', '0001099363.txt', '0001568469.txt', '0147362898.txt', '0163876967.txt']"""
0001687068.txt,"""['0000053020.txt', '0000060947.txt', '0000177474.txt', '0000751807.txt', '0000786165.txt', '0001289506.txt', '0001377272.txt', '0001492714.txt', '0001639888.txt', '0001681739.txt', '0001726678.txt', '0001752153.txt', '0001960330.txt']"""
0000751807.txt,"""['0000065501.txt', '0000097946.txt', '0000364583.txt', '0000636011.txt', '0000901227.txt', '0001359356.txt', '0001598105.txt', '0001945428.txt']"""
0000327235.txt,"""['0000043994.txt', '0000335698.txt', '0000497979.txt', '0000678242.txt', '0000796476.txt', '0000966068.txt', '0001142617.txt', '0001538869.txt', '0001580245.txt', '0001827392.txt', '0001949249.txt', '0157433067.txt']"""
0001113126.txt,"""['0000169314.txt', '0000776554.txt', '0000899400.txt', '0001028314.txt', '0001216982.txt', '0001742283.txt', '0138715291.txt']"""
0001888866.txt,"""['0000084270.txt', '0001087934.txt', '0001202719.txt', '0001246491.txt', '0001356048.txt', '0001644199.txt']"""
